question;reponse;chemin_image
Star du film « Le Huitième Jour » avec Daniel Auteuil, cet artiste atteint de Trisomie 21 poursuit sa carrière de comédien;Pascal Duquenne;
Malgré sa maladie de Charcot et sa paralysie, il était l'un des physiciens les plus brillants;Stephen Hawking;
Né avec une agénésie qui lui a provoqué une absence de son avant-bras gauche, ce cuisinier n'a pas laissé son handicap prendre le dessus;Grégory Cuilleron;
Atteinte d'achondroplasie, cette artiste continue tout de même sa carrière de comédienne;Mimie Mathy;
Aveugle depuis son enfance, cet artiste chanteur auteur compositeur Français est un pianiste hors pair ;Gilbert Montagné;
Sourd à 30 ans, il a tout de même poursuivi sa carrière de compositeur;Beethoven;
Atteint de cécité depuis son enfance, le talent de cet artiste Américain n'est plus à prouver;Stevie Wonder, Ray Charles;
Habitué à cacher son bras droit, cet artiste n'a pas laissé son accident et son handicap se mettre à travers sa passion;Jamel Debbouze;
Le jeune acteur est devenu célèbre après avoir joué le rôle de Dustin dans la série Stranger Things. Grâce à lui, la dysplasie cléidocrânienne est devenue plus connue. Cette maladie dont il est atteint touche la constitution des os et provoque des anomalies de la dentition.;Gaten Matarazzo;
Atteint d'achondroplasie depuis la naissance, cet acteur sait passer outre son handicap et nous montre un charisme inimitable dans la série Game of Thrones.;Peter Dinklage;
Diagnostiquée bipolaire, la chanteuse va aujourd'hui mieux.;Demi Lovato, Britney Spears;
Quel est le point commun entre : Susan Boyle, Anthony Hopkin et Laura Laune;Le Syndrôme d'Asperger;
Atteinte de la maladie de Ménière qui me provoque des crises de vertiges et me fait perdre une partie de l'audition, je suis une jeune chanteuse française dont le pseudonyme fait penser au Japon;Hoshi;
Quel est le point commun entre : Leonardo Di Caprio, Jessica Alba, Cameron Diaz, Justin Timberlake et Katy Perry;Victimes de TOCS;
Quel est le point commun entre : Lucas Hauchard (Squeezie) et Mark Zuckerberg;Atteints de daltonisme ;
Auteur du livre « Le Vieil Homme et la Mer » l'écrivain a été diagnostiqué bipolaire;Ernest Hemingway;
Quel est le point commun entre : Agatha Christie, Tom Cruise, Robin Williams, Whoopi Goldberg et Albert Einstein;Atteints de dyslexie;
